date,actual
2002- 2- 1,82.5
2002- 1- 1,81.9
2001- 12- 1,81.8
2001- 11- 1,81.5
2001- 10- 1,81.1
2001- 9- 1,81.7
2001- 8- 1,83.2
2001- 7- 1,83.4
2001- 6- 1,83.7
2001- 5- 1,84.3
2001- 4- 1,84.1
2001- 3- 1,85.1
2001- 2- 1,86.5
2001- 1- 1,87.6
2000- 12- 1,88.3
2000- 11- 1,89.7
2000- 10- 1,90.2
2000- 9- 1,91.2
2000- 8- 1,90.9
2000- 7- 1,91.4
2000- 6- 1,91.8
2000- 5- 1,91.4
2000- 4- 1,92.3
2000- 3- 1,92.1
2000- 2- 1,91.2
2000- 1- 1,91.7
1999- 12- 1,91
1999- 11- 1,90.1
1999- 10- 1,89.5
1999- 9- 1,89.1
1999- 8- 1,89
1999- 7- 1,88.9
1999- 6- 1,88.4
1999- 5- 1,88.1
1999- 4- 1,87.6
1999- 3- 1,87.5
1999- 2- 1,87.5
1999- 1- 1,87.1
1998- 12- 1,87.2
1998- 11- 1,86.9
1998- 10- 1,86.6
1998- 9- 1,87.1
1998- 8- 1,87.7
1998- 7- 1,87.7
1998- 6- 1,87.5
1998- 5- 1,87.9
1998- 4- 1,87.4
1998- 3- 1,87.6
1998- 2- 1,87.4
1998- 1- 1,86.5
1997- 12- 1,86.4
1997- 11- 1,86.1
1997- 10- 1,85.9
1997- 9- 1,85.7
1997- 8- 1,85.1
1997- 7- 1,84.7
1997- 6- 1,83.8
1997- 5- 1,83.2
1997- 4- 1,82.6
1997- 3- 1,82.4
1997- 2- 1,82.1
1997- 1- 1,81
1996- 12- 1,80.5
1996- 11- 1,80.4
1996- 10- 1,79.8
1996- 9- 1,79.5
1996- 8- 1,79.2
1996- 7- 1,79
1996- 6- 1,79.1
1996- 5- 1,78.6
1996- 4- 1,77.9
1996- 3- 1,77.6
1996- 2- 1,77.4
1996- 1- 1,76.5
1995- 12- 1,77.9
1995- 11- 1,77.8
1995- 10- 1,77.8
1995- 9- 1,77.9
1995- 8- 1,77.6
1995- 7- 1,77.2
1995- 6- 1,77.2
1995- 5- 1,77.2
1995- 4- 1,77.1
1995- 3- 1,77
1995- 2- 1,77
1995- 1- 1,77
1994- 12- 1,76.8
1994- 11- 1,76.3
1994- 10- 1,76.1
1994- 9- 1,75.5
1994- 8- 1,75.1
1994- 7- 1,74.4
1994- 6- 1,74.1
1994- 5- 1,73.5
1994- 4- 1,73
1994- 3- 1,72.5
1994- 2- 1,71.5
1994- 1- 1,71.2
1993- 12- 1,71.2
1993- 11- 1,70.2
1993- 10- 1,69.8
1993- 9- 1,69.4
1993- 8- 1,69
1993- 7- 1,68.5
1993- 6- 1,68.4
1993- 5- 1,68.2
1993- 4- 1,67.9
1993- 3- 1,67.5
1993- 2- 1,67.5
1993- 1- 1,67
1992- 12- 1,66.6
1992- 11- 1,65.7
1992- 10- 1,65.2
1992- 9- 1,65.2
1992- 8- 1,64.9
1992- 7- 1,64.7
1992- 6- 1,64.4
1992- 5- 1,64
1992- 4- 1,63.4
1992- 3- 1,63
1992- 2- 1,62.4
1992- 1- 1,62.2
1991- 12- 1,61.8
1991- 11- 1,61.9
1991- 10- 1,61.9
1991- 9- 1,62
1991- 8- 1,61.5
1991- 7- 1,61.4
1991- 6- 1,60.7
1991- 5- 1,60.8
1991- 4- 1,60.4
1991- 3- 1,59.9
1991- 2- 1,60.1
1991- 1- 1,60.3
1990- 12- 1,61.1
1990- 11- 1,61.8
1990- 10- 1,63
1990- 9- 1,63.9
1990- 8- 1,64.8
1990- 7- 1,65.8
1990- 6- 1,66.1
1990- 5- 1,66.1
1990- 4- 1,66.1
1990- 3- 1,66.4
1990- 2- 1,66.3
1990- 1- 1,66.5
1989- 12- 1,66.6
1989- 11- 1,66.6
1989- 10- 1,66.5
1989- 9- 1,66.7
1989- 8- 1,66.7
1989- 7- 1,66.5
1989- 6- 1,66.8
1989- 5- 1,66.9
1989- 4- 1,67.1
1989- 3- 1,67
1989- 2- 1,67.3
1989- 1- 1,67.3
1988- 12- 1,67.2
1988- 11- 1,67
1988- 10- 1,66.9
1988- 9- 1,66.6
1988- 8- 1,66.5
1988- 7- 1,66.3
1988- 6- 1,66.3
1988- 5- 1,65.9
1988- 4- 1,65.6
1988- 3- 1,65.5
1988- 2- 1,65.2
1988- 1- 1,64.7
1987- 12- 1,64.5
1987- 11- 1,64.5
1987- 10- 1,64.7
1987- 9- 1,64.5
1987- 8- 1,64.2
1987- 7- 1,64
1987- 6- 1,63.7
1987- 5- 1,63.4
1987- 4- 1,63.2
1987- 3- 1,63.1
1987- 2- 1,62.9
1987- 1- 1,62.5
1986- 12- 1,62.5
1986- 11- 1,62.1
1986- 10- 1,61.9
1986- 9- 1,61.8
1986- 8- 1,61.6
1986- 7- 1,61.5
1986- 6- 1,61.5
1986- 5- 1,61.1
1986- 4- 1,60.8
1986- 3- 1,60.5
1986- 2- 1,60.4
1986- 1- 1,60.2
1985- 12- 1,60
1985- 11- 1,59.7
1985- 10- 1,59.5
1985- 9- 1,59.4
1985- 8- 1,59.2
1985- 7- 1,59
1985- 6- 1,58.8
1985- 5- 1,58.5
1985- 4- 1,58.3
1985- 3- 1,58.2
1985- 2- 1,58
1985- 1- 1,57.7
1984- 12- 1,57.4
1984- 11- 1,57
1984- 10- 1,56.7
1984- 9- 1,56.5
1984- 8- 1,56.5
1984- 7- 1,56.4
1984- 6- 1,56.3
1984- 5- 1,56.1
1984- 4- 1,55.7
1984- 3- 1,55.4
1984- 2- 1,55.3
1984- 1- 1,54.8
1983- 12- 1,54.2
1983- 11- 1,53.6
1983- 10- 1,53.2
1983- 9- 1,52.5
1983- 8- 1,51.9
1983- 7- 1,51.7
1983- 6- 1,51.1
1983- 5- 1,50.5
1983- 4- 1,49.7
1983- 3- 1,49.3
1983- 2- 1,48.7
1983- 1- 1,48.1
1982- 12- 1,47.3
1982- 11- 1,46.9
1982- 10- 1,46.7
1982- 9- 1,46.5
1982- 8- 1,46.1
1982- 7- 1,46.5
1982- 6- 1,46.4
1982- 5- 1,46.7
1982- 4- 1,46.9
1982- 3- 1,46.9
1982- 2- 1,47.2
1982- 1- 1,46.9
1981- 12- 1,47.4
1981- 11- 1,47.6
1981- 10- 1,47.7
1981- 9- 1,48.1
1981- 8- 1,48.7
1981- 7- 1,48.9
1981- 6- 1,49.3
1981- 5- 1,49.7
1981- 4- 1,50
1981- 3- 1,49.7
1981- 2- 1,49.6
1981- 1- 1,49.9
1980- 12- 1,50.5
1980- 11- 1,50.8
1980- 10- 1,50.7
1980- 9- 1,50.3
1980- 8- 1,49.9
1980- 7- 1,49.5
1980- 6- 1,49.1
1980- 5- 1,48.9
1980- 4- 1,49.5
1980- 3- 1,51.1
1980- 2- 1,52.4
1980- 1- 1,52.5
1979- 12- 1,52.6
1979- 11- 1,53
1979- 10- 1,53.7
