date,actual,forecast
1970-01-02 21:30:00,153,
1970-02-06 21:30:00,-64,
1970-03-06 21:30:00,128,
1970-04-03 21:30:00,148,
1970-05-01 21:30:00,-104,
1970-06-05 21:30:00,-225,
1970-07-03 21:30:00,-94,
1970-08-07 21:30:00,24,
1970-09-04 21:30:00,-120,
1970-10-02 21:30:00,15,
1970-11-06 21:30:00,-429,
1970-12-04 21:30:00,-110,
1971-01-01 21:30:00,381,
1971-02-05 21:30:00,76,
1971-03-05 21:30:00,-60,
1971-04-02 21:30:00,53,
1971-05-07 21:30:00,178,
1971-06-04 21:30:00,210,
1971-07-02 21:30:00,6,
1971-08-06 21:30:00,62,
1971-09-03 21:30:00,55,
1971-10-01 21:30:00,247,
1971-11-05 21:30:00,25,
1971-12-03 21:30:00,204,
1972-01-07 21:30:00,262,
1972-02-04 21:30:00,337,
1972-03-03 21:30:00,207,
1972-04-07 21:30:00,293,
1972-05-05 21:30:00,218,
1972-06-02 21:30:00,304,
1972-07-07 21:30:00,293,
1972-08-04 21:30:00,-52,
1972-09-01 21:30:00,430,
1972-10-06 21:30:00,125,
1972-11-03 21:30:00,410,
1972-12-01 21:30:00,294,
1973-01-05 21:30:00,303,
1973-02-02 21:30:00,351,
1973-03-02 21:30:00,396,
1973-04-06 21:30:00,268,
1973-05-04 21:30:00,170,
1973-06-01 21:30:00,191,
1973-07-06 21:30:00,241,
1973-08-03 21:30:00,24,
1973-09-07 21:30:00,255,
1973-10-05 21:30:00,110,
1973-11-02 21:30:00,330,
1973-12-07 21:30:00,306,
1974-01-04 21:30:00,123,
1974-02-01 21:30:00,69,
1974-03-01 21:30:00,150,
1974-04-05 21:30:00,42,
1974-05-03 21:30:00,86,
1974-06-07 21:30:00,165,
1974-07-05 21:30:00,55,
1974-08-02 21:30:00,33,
1974-09-06 21:30:00,-16,
1974-10-04 21:30:00,-8,
1974-11-01 21:30:00,18,
1974-12-06 21:30:00,-368,
1975-01-03 21:30:00,-604,
1975-02-07 21:30:00,-360,
1975-03-07 21:30:00,-378,
1975-04-04 21:30:00,-270,
1975-05-02 21:30:00,-188,
1975-06-06 21:30:00,162,
1975-07-04 21:30:00,-103,
1975-08-01 21:30:00,249,
1975-09-05 21:30:00,386,
1975-10-03 21:30:00,75,
1975-11-07 21:30:00,305,
1975-12-05 21:30:00,145,
1976-01-02 21:30:00,338,
1976-02-06 21:30:00,488,
1976-03-05 21:30:00,311,
1976-04-02 21:30:00,232,
1976-05-07 21:30:00,243,
1976-06-04 21:30:00,19,
1976-07-02 21:30:00,65,
1976-08-06 21:30:00,171,
1976-09-03 21:30:00,157,
1976-10-01 21:30:00,188,
1976-11-05 21:30:00,13,
1976-12-03 21:30:00,332,
1977-01-07 21:30:00,211,
1977-02-04 21:30:00,244,
1977-03-04 21:30:00,296,
1977-04-01 21:30:00,403,
1977-05-06 21:30:00,338,
1977-06-03 21:30:00,360,
1977-07-01 21:30:00,399,
1977-08-05 21:30:00,348,
1977-09-02 21:30:00,238,
1977-10-07 21:30:00,458,
1977-11-04 21:30:00,262,
1977-12-02 21:30:00,379,
1978-01-06 21:30:00,235,
1978-02-03 21:30:00,187,
1978-03-03 21:30:00,353,
1978-04-07 21:30:00,513,
1978-05-05 21:30:00,702,
1978-06-02 21:30:00,346,
1978-07-07 21:30:00,442,
1978-08-04 21:30:00,254,
1978-09-01 21:30:00,276,
1978-10-06 21:30:00,137,
1978-11-03 21:30:00,336,
1978-12-01 21:30:00,437,
1979-01-05 21:30:00,282,
1979-02-02 21:30:00,137,
1979-03-02 21:30:00,244,
1979-04-06 21:30:00,426,
1979-05-04 21:30:00,-62,
1979-06-01 21:30:00,373,
1979-07-06 21:30:00,318,
1979-08-03 21:30:00,106,
1979-09-07 21:30:00,82,
1979-10-05 21:30:00,28,
1979-11-02 21:30:00,157,
1979-12-07 21:30:00,94,
1980-01-04 21:30:00,97,
1980-02-01 21:30:00,129,
1980-03-07 21:30:00,80,
1980-04-04 21:30:00,112,
1980-05-02 21:30:00,-144,
1980-06-06 21:30:00,-431,
1980-07-04 21:30:00,-320,
1980-08-01 21:30:00,-262,
1980-09-05 21:30:00,260,
1980-10-03 21:30:00,113,
