date,actual,forecast
1982-09-28 00:00:00,10.25,
1982-10-02 03:00:00,10.0,
1982-10-08 03:00:00,9.5,
1982-11-20 03:00:00,9.0,
1982-12-15 03:00:00,8.5,
1983-04-01 03:00:00,8.625,
1983-05-26 03:00:00,8.75,
1983-06-25 03:00:00,9.0,
1983-07-15 03:00:00,9.25,
1983-07-21 03:00:00,9.438,
1983-08-12 03:00:00,9.563,
1983-08-18 03:00:00,9.5,
1983-09-16 03:00:00,9.375,
1984-03-30 03:00:00,10.5,
1984-07-06 03:00:00,11.0,
1984-07-20 03:00:00,11.25,
1984-08-10 03:00:00,11.5,
1984-09-21 03:00:00,11.25,
1984-09-28 03:00:00,11.0,
1984-10-12 03:00:00,10.5,
1984-10-19 03:00:00,10.0,
1984-11-09 03:00:00,9.5,
1984-11-24 03:00:00,9.0,
1984-12-07 03:00:00,8.75,
1984-12-20 03:00:00,8.5,
1984-12-25 03:00:00,8.125,
1985-01-25 03:00:00,8.25,
1985-02-15 03:00:00,8.375,
1985-03-29 03:00:00,8.5,
1985-04-26 03:00:00,8.25,
1985-05-21 03:00:00,7.75,
1985-07-12 03:00:00,7.688,
1985-07-26 03:00:00,7.75,
1985-08-22 03:00:00,7.813,
1985-09-07 03:00:00,8.0,
1985-12-19 03:00:00,7.75,
1986-03-08 03:00:00,7.25,
1986-04-03 03:00:00,7.313,
1986-04-22 03:00:00,6.75,
1986-05-23 03:00:00,6.813,
1986-06-06 03:00:00,6.875,
1986-07-12 03:00:00,6.375,
1986-08-22 03:00:00,5.875,
1987-01-06 03:00:00,6.0,
1987-05-01 03:00:00,6.5,
1987-05-23 03:00:00,6.75,
1987-07-03 03:00:00,6.625,
1987-08-28 03:00:00,6.75,
1987-09-04 03:00:00,6.875,
1987-09-05 03:00:00,7.25,
1987-09-25 03:00:00,7.313,
1987-11-05 03:00:00,6.813,
1988-01-29 03:00:00,6.625,
1988-02-12 03:00:00,6.5,
1988-03-31 03:00:00,6.75,
1988-05-10 03:00:00,7.0,
1988-05-26 03:00:00,7.25,
1988-06-23 03:00:00,7.438,
1988-07-02 03:00:00,7.5,
1988-07-20 03:00:00,7.688,
1988-08-09 03:00:00,7.75,
1988-08-10 03:00:00,8.125,
1988-11-18 03:00:00,8.313,
1988-11-23 03:00:00,8.375,
1988-12-16 03:00:00,8.688,
1989-01-06 03:00:00,9.0,
1989-02-10 03:00:00,9.125,
1989-02-15 03:00:00,9.313,
1989-02-25 03:00:00,9.75,
1989-05-18 03:00:00,9.813,
1989-06-07 03:00:00,9.563,
1989-07-08 03:00:00,9.313,
1989-07-28 03:00:00,9.063,
1989-10-20 03:00:00,8.75,
1989-11-07 03:00:00,8.5,
1989-12-21 03:00:00,8.25,
1990-07-14 03:00:00,8.0,
1990-10-30 03:00:00,7.75,
1990-11-15 03:00:00,7.5,
1990-12-08 03:00:00,7.25,
1990-12-20 03:00:00,7.0,
1991-01-10 03:00:00,6.75,
1991-02-02 03:00:00,6.25,
1991-03-09 03:00:00,6.0,
1991-05-01 03:00:00,5.75,
1991-08-07 03:00:00,5.5,
1991-09-14 03:00:00,5.25,
1991-11-01 03:00:00,5.0,
1991-11-07 03:00:00,4.75,
1991-12-07 03:00:00,4.5,
1991-12-21 03:00:00,4.0,
1992-04-10 03:00:00,3.75,
1992-07-03 03:00:00,3.25,
1992-09-05 03:00:00,3.0,
1994-02-05 03:00:00,3.25,
1994-03-23 03:00:00,3.5,
1994-04-19 03:00:00,3.75,
1994-05-18 03:00:00,4.25,
1994-08-17 03:00:00,4.75,
1994-11-16 03:00:00,5.5,
1995-02-02 03:00:00,6.0,
1995-07-07 03:00:00,5.75,
1995-12-20 03:00:00,5.5,
1996-02-01 03:00:00,5.25,
1997-03-26 03:00:00,5.5,
1998-09-30 03:00:00,5.25,
1998-10-16 03:00:00,5.0,
1998-11-18 03:00:00,4.75,
1999-07-01 03:00:00,5.0,
1999-08-25 03:00:00,5.25,
1999-11-17 03:00:00,5.5,
2000-02-03 03:00:00,5.75,
2000-03-22 03:00:00,6.0,
2000-05-17 03:00:00,6.5,
2001-01-04 03:00:00,6.0,
2001-02-01 03:00:00,5.5,
2001-03-21 03:00:00,5.0,
2001-04-19 03:00:00,4.5,
2001-05-16 03:00:00,4.0,
2001-06-28 03:00:00,3.75,
2001-08-22 03:00:00,3.5,
2001-09-18 03:00:00,3.0,
2001-10-03 03:00:00,2.5,
2001-11-07 03:00:00,2.0,
2001-12-12 03:00:00,1.75,
2002-11-07 03:00:00,1.25,
2003-06-26 03:00:00,1.0,
2004-07-01 03:00:00,1.25,
2004-08-11 03:00:00,1.5,
2004-09-22 03:00:00,1.75,
2004-11-11 03:00:00,2.0,
2004-12-15 03:00:00,2.25,
2005-02-03 03:00:00,2.5,
2005-03-23 03:00:00,2.75,
2005-05-04 03:00:00,3.0,
2005-07-01 03:00:00,3.25,
2005-08-10 03:00:00,3.5,
2005-09-21 03:00:00,3.75,
2005-11-02 03:00:00,4.0,
2005-12-14 03:00:00,4.25,
2006-02-01 03:00:00,4.5,
2006-03-29 03:00:00,4.75,
2006-05-11 03:00:00,5.0,
2006-06-30 03:00:00,5.25,
2007-09-19 03:00:00,4.75,
2007-11-01 03:00:00,4.5,
2007-12-12 03:00:00,4.25,
2008-01-23 03:15:00,3.5,
2008-01-31 03:15:00,3.0,
2008-03-19 03:15:00,2.25,2.5
2008-05-01 03:15:00,2.0,2.0
2008-06-26 03:15:00,2.0,2.0
2008-08-06 03:15:00,2.0,
2008-09-17 03:15:00,2.0,2.0
2008-10-08 20:00:00,1.5,
2008-10-30 03:15:00,1.0,1.0
2008-12-17 04:15:00,0.25,0.5
2009-01-29 04:15:00,0.25,0.25
2009-03-19 03:15:00,0.25,0.25
2009-04-30 03:15:00,0.25,0.25
2009-06-25 03:15:00,0.25,0.25
2009-08-13 03:15:00,0.25,0.25
2009-09-24 03:15:00,0.25,0.25
2009-11-05 04:15:00,0.25,0.25
2009-12-17 04:15:00,0.25,0.25
2010-01-28 04:15:00,0.25,0.25
2010-03-17 03:15:00,0.25,0.25
2010-04-29 03:15:00,0.25,0.25
2010-06-24 03:15:00,0.25,0.25
2010-08-11 03:15:00,0.25,0.25
2010-09-22 03:15:00,0.25,0.25
2010-11-04 03:15:00,0.25,0.25
2010-12-15 04:15:00,0.25,0.25
2011-01-27 04:15:00,0.25,0.25
2011-03-16 03:15:00,0.25,0.25
2011-04-28 01:30:00,0.25,0.25
2011-06-23 01:30:00,0.25,0.25
2011-08-10 03:15:00,0.25,0.25
2011-09-22 03:15:00,0.25,0.25
2011-11-03 01:30:00,0.25,0.25
2011-12-14 04:15:00,0.25,0.25
2012-01-26 02:30:00,0.25,0.25
2012-03-14 03:15:00,0.25,0.25
2012-04-26 01:30:00,0.25,0.25
2012-06-21 01:30:00,0.25,0.25
2012-08-02 03:15:00,0.25,0.25
2012-09-14 01:30:00,0.25,0.25
2012-10-25 03:15:00,0.25,0.25
2012-12-13 02:30:00,0.25,0.25
2013-01-31 04:15:00,0.25,0.25
2013-03-21 03:00:00,0.25,0.25
2013-05-02 03:00:00,0.25,0.25
2013-06-20 03:00:00,0.25,0.25
2013-08-01 03:00:00,0.25,0.25
2013-09-19 03:00:00,0.25,0.25
2013-10-31 03:00:00,0.25,0.25
2013-12-19 04:00:00,0.25,0.25
2014-01-30 04:00:00,0.25,0.25
2014-03-20 03:00:00,0.25,0.25
2014-05-01 03:00:00,0.25,0.25
2014-06-19 03:00:00,0.25,0.25
2014-07-31 03:00:00,0.25,0.25
2014-09-18 03:00:00,0.25,0.25
2014-10-30 03:00:00,0.25,0.25
2014-12-18 04:00:00,0.25,0.25
2015-01-29 04:00:00,0.25,0.25
2015-03-19 03:00:00,0.25,0.25
2015-04-30 03:00:00,0.25,0.25
2015-06-18 03:00:00,0.25,0.25
2015-07-30 03:00:00,0.25,0.25
2015-09-18 03:00:00,0.25,0.25
2015-10-29 03:00:00,0.25,0.25
2015-12-17 04:00:00,0.5,0.5
2016-01-28 04:00:00,0.5,0.5
