date,actual,forecast
2008-03-03 18:30:00,51.3,51.0
2008-04-01 17:30:00,51.3,51.1
2008-05-01 17:30:00,51.0,50.7
2008-06-02 18:30:00,50.0,51.6
2008-07-01 17:30:00,45.8,49.8
2008-08-01 17:30:00,44.3,45.5
2008-09-01 17:30:00,45.9,44.0
2008-10-01 17:30:00,41.0,45.0
2008-11-03 18:30:00,41.5,40.0
2008-12-01 18:30:00,34.4,39.8
2009-01-02 18:30:00,34.9,33.5
2009-02-02 18:30:00,35.8,34.4
2009-03-02 18:30:00,34.7,34.9
2009-04-01 17:30:00,39.5,34.9
2009-05-01 17:30:00,43.1,40.2
2009-06-01 17:30:00,45.4,44.1
2009-07-01 17:30:00,47.4,46.3
2009-08-03 17:30:00,50.2,47.7
2009-09-01 17:30:00,49.7,51.5
2009-10-01 17:30:00,49.9,50.5
2009-11-02 18:30:00,53.4,50.1
2009-12-01 18:30:00,51.8,54.0
2010-01-04 18:30:00,54.6,52.1
2010-02-01 18:30:00,56.6,54.1
2010-03-01 18:30:00,56.3,56.7
2010-04-01 17:30:00,57.2,57.0
2010-05-04 17:30:00,58.0,57.5
2010-06-01 17:30:00,58.0,57.8
2010-07-01 17:30:00,57.6,57.6
2010-08-02 17:30:00,56.9,57.1
2010-09-01 17:30:00,53.7,57.1
2010-10-01 17:30:00,53.4,53.9
2010-11-01 18:30:00,54.4,53.0
2010-12-01 18:30:00,57.5,54.7
2011-01-04 18:30:00,58.7,57.5
2011-02-01 18:30:00,61.5,58.1
2011-03-01 18:30:00,60.9,61.5
2011-04-01 17:30:00,56.7,60.9
2011-05-03 17:30:00,54.4,57.0
2011-06-01 17:30:00,52.0,54.2
2011-07-01 17:30:00,51.4,52.3
2011-08-01 17:30:00,49.4,51.0
2011-09-01 17:30:00,49.4,49.5
2011-10-03 17:30:00,50.8,48.5
2011-11-01 18:30:00,47.8,50.0
2011-12-01 18:30:00,47.7,47.0
2012-01-03 18:30:00,49.7,47.3
2012-02-01 18:30:00,52.0,50.1
2012-03-01 18:30:00,51.5,52.0
2012-04-02 17:30:00,51.9,50.5
2012-05-01 17:30:00,50.2,51.4
2012-06-01 17:30:00,45.9,49.7
2012-07-02 17:30:00,48.4,46.7
2012-08-01 17:30:00,45.2,48.7
2012-09-03 17:30:00,49.5,46.2
2012-10-01 17:30:00,48.1,49.3
2012-11-01 18:30:00,47.3,48.1
2012-12-03 18:30:00,49.2,48.1
2013-01-02 18:30:00,51.2,49.2
2013-02-01 18:30:00,50.8,51.0
2013-03-01 18:30:00,47.9,51.0
2013-04-02 17:28:00,48.6,48.5
2013-05-01 17:28:00,50.2,48.5
2013-06-03 17:28:00,51.5,50.2
2013-07-01 17:28:00,52.9,51.5
2013-08-01 17:28:00,54.8,52.8
2013-09-02 17:28:00,57.1,55.0
2013-10-01 17:28:00,56.3,57.3
2013-11-01 18:28:00,56.5,56.1
2013-12-02 18:28:00,58.1,56.0
2014-01-02 18:28:00,57.2,58.0
2014-02-03 18:28:00,56.7,57.0
2014-03-03 18:28:00,56.2,56.5
2014-04-01 17:30:00,55.8,56.7
2014-05-01 17:30:00,57.3,55.4
2014-06-02 17:30:00,57.0,57.0
2014-07-01 17:30:00,57.2,56.8
2014-08-01 17:30:00,54.8,57.2
2014-09-01 17:30:00,52.2,55.0
2014-10-01 17:30:00,51.6,52.5
2014-11-03 18:30:00,53.2,51.2
2014-12-01 18:30:00,53.5,53.1
2015-01-02 18:30:00,52.7,53.6
