date,actual,forecast
1970-01-01 18:00:00,-0.12,
1970-02-01 18:00:00,-0.1,
1970-03-01 18:00:00,-0.08,
1970-04-01 18:00:00,-0.08,
1970-05-01 18:00:00,-0.09,
1970-06-01 18:00:00,-0.08,
1970-07-01 18:00:00,-0.07,
1970-08-01 18:00:00,-0.08,
1970-09-01 18:00:00,-0.08,
1970-10-01 18:00:00,-0.08,
1970-11-01 18:00:00,-0.11,
1970-12-01 18:00:00,-0.11,
1971-01-01 18:00:00,-0.18,
1971-02-01 18:00:00,-0.07,
1971-03-01 18:00:00,-0.14,
1971-04-01 18:00:00,-0.1,
1971-05-01 18:00:00,-0.13,
1971-06-01 18:00:00,-0.12,
1971-07-01 18:00:00,-0.14,
1971-08-01 18:00:00,-0.14,
1971-09-01 18:00:00,-0.13,
1971-10-01 18:00:00,-0.1,
1971-11-01 18:00:00,-0.08,
1971-12-01 18:00:00,-0.09,
1972-01-01 18:00:00,-0.09,
1972-02-01 18:00:00,-0.05,
1972-03-01 18:00:00,-0.07,
1972-04-01 18:00:00,-0.1,
1972-05-01 18:00:00,-0.09,
1972-06-01 18:00:00,-0.11,
1972-07-01 18:00:00,-0.08,
1972-08-01 18:00:00,-0.06,
1972-09-01 18:00:00,-0.06,
1972-10-01 18:00:00,-0.08,
1972-11-01 18:00:00,-0.07,
1972-12-01 18:00:00,-0.05,
1973-01-01 18:00:00,-0.08,
1973-02-01 18:00:00,-0.1,
1973-03-01 18:00:00,-0.04,
1973-04-01 18:00:00,-0.09,
1973-05-01 18:00:00,-0.15,
1973-06-01 18:00:00,-0.14,
1973-07-01 18:00:00,-0.1,
1973-08-01 18:00:00,-0.12,
1973-09-01 18:00:00,-0.07,
1973-10-01 18:00:00,-0.04,
1973-11-01 18:00:00,-0.04,
1973-12-01 18:00:00,-0.06,
1974-01-01 18:00:00,-0.05,
1974-02-01 18:00:00,-0.18,
1974-03-01 18:00:00,-0.13,
1974-04-01 18:00:00,-0.12,
1974-05-01 18:00:00,-0.18,
1974-06-01 18:00:00,-0.2,
1974-07-01 18:00:00,-0.21,
1974-08-01 18:00:00,-0.22,
1974-09-01 18:00:00,-0.28,
1974-10-01 18:00:00,-0.13,
1974-11-01 18:00:00,-0.26,
1974-12-01 18:00:00,-0.26,
1975-01-01 18:00:00,-0.22,
1975-02-01 18:00:00,-0.31,
1975-03-01 18:00:00,-0.35,
1975-04-01 18:00:00,-0.34,
1975-05-01 18:00:00,-0.38,
1975-06-01 18:00:00,-0.22,
1975-07-01 18:00:00,-0.2,
1975-08-01 18:00:00,-0.04,
1975-09-01 18:00:00,-0.07,
