date,actual,forecast
2007-02-01 18:00:00,60.4,
2007-03-01 18:00:00,60.6,
2007-04-01 18:00:00,58.2,
2007-05-01 18:00:00,60.4,
2007-06-01 18:00:00,62.2,
2007-07-01 18:00:00,60.0,
2007-08-01 18:00:00,59.4,
2007-09-01 18:00:00,61.7,
2007-10-01 18:00:00,61.9,
2007-11-01 18:00:00,61.4,
2007-12-01 18:00:00,60.6,
2008-01-01 18:00:00,60.2,
2008-02-01 18:00:00,60.2,
2008-03-01 18:00:00,59.3,
2008-04-01 18:00:00,58.9,
2008-05-01 18:00:00,58.4,
2008-06-01 18:00:00,57.4,
2008-07-01 18:00:00,57.4,
2008-08-01 18:00:00,55.7,
2008-09-01 18:00:00,52.9,
2008-10-01 18:00:00,55.0,
2008-11-01 18:00:00,53.1,
2008-12-01 18:00:00,51.2,
2009-01-01 18:00:00,50.8,
2009-02-01 18:00:00,53.7,
2009-03-01 18:00:00,55.1,
2009-04-01 18:00:00,54.4,
2009-05-01 18:00:00,53.5,
2009-06-01 18:00:00,54.9,
2009-07-01 18:00:00,55.4,
2009-08-01 18:00:00,57.3,
2009-09-01 18:00:00,57.3,
2009-10-01 18:00:00,57.9,
2009-11-01 18:00:00,59.5,
2009-12-01 18:00:00,58.4,
2010-01-01 18:00:00,58.8,
2010-02-01 18:00:00,58.1,
2010-03-01 18:00:00,57.0,
2010-04-01 18:00:00,57.3,
2010-05-01 18:00:00,57.8,
2010-06-01 18:00:00,58.1,
2010-07-01 18:00:00,58.8,
2010-08-01 18:00:00,57.1,
2010-09-01 18:00:00,58.0,
2010-10-01 18:00:00,57.9,
2010-11-01 18:00:00,57.4,
2010-12-01 18:00:00,58.9,
2011-01-01 18:00:00,58.8,
2011-02-01 18:00:00,57.2,
2011-03-01 18:00:00,57.0,
2011-04-01 18:00:00,59.2,
2011-05-01 18:00:00,58.2,
2011-06-01 18:00:00,58.7,
2011-07-01 18:00:00,56.6,
2011-08-01 18:00:00,57.3,
2011-09-01 18:00:00,57.1,
2011-10-01 18:00:00,55.8,
2011-11-01 18:00:00,55.5,
2011-12-01 18:00:00,55.9,
2012-01-01 18:00:00,56.3,
2012-02-01 18:00:00,55.7,
2012-03-01 18:00:00,57.3,
2012-04-01 18:00:00,58.0,
2012-05-01 18:00:00,56.1,
2012-06-01 18:00:00,55.2,
2012-07-01 18:00:00,56.7,
2012-08-03 10:00:00,55.6,
2012-09-03 10:00:00,56.3,
2012-10-03 10:00:00,53.7,
2012-11-03 10:00:00,55.5,
2012-12-03 10:00:00,55.6,
2013-01-03 10:00:00,56.1,
2013-02-03 10:00:00,56.2,
2013-03-03 10:00:00,54.5,
2013-04-03 10:00:00,55.6,
2013-05-03 10:00:00,54.5,
2013-06-03 10:00:00,54.3,
2013-07-03 10:00:00,53.9,
2013-08-03 10:00:00,54.1,
2013-09-03 10:00:00,53.9,
2013-10-03 10:00:00,55.4,
2013-11-03 10:00:00,56.3,
2013-12-03 10:00:00,56.0,
