date,actual,forecast
2001-08-01 18:00:00,-13.29,
2001-09-01 18:00:00,-7.98,
2001-10-01 18:00:00,-12.48,
2001-11-01 18:00:00,-14.73,
2001-12-01 18:00:00,-21.51,
2002-01-01 18:00:00,-9.78,
2002-02-01 18:00:00,1.41,
2002-03-01 18:00:00,13.3,
2002-04-01 18:00:00,13.8,
2002-05-01 18:00:00,20.18,
2002-06-01 18:00:00,12.93,
2002-07-01 18:00:00,8.91,
2002-08-01 18:00:00,-1.86,
2002-09-01 18:00:00,8.25,
2002-10-01 18:00:00,6.35,
2002-11-01 18:00:00,-3.79,
2002-12-01 18:00:00,3.97,
2003-01-01 18:00:00,2.38,
2003-02-01 18:00:00,8.1,
2003-03-01 18:00:00,-3.54,
2003-04-01 18:00:00,6.45,
2003-05-01 18:00:00,-14.49,
2003-06-01 18:00:00,15.67,
2003-07-01 18:00:00,25.13,
2003-08-01 18:00:00,19.33,
2003-09-01 18:00:00,15.55,
2003-10-01 18:00:00,20.39,
2003-11-01 18:00:00,36.79,
2003-12-01 18:00:00,33.95,
2004-01-01 18:00:00,27.37,
2004-02-01 18:00:00,32.47,
2004-03-01 18:00:00,36.98,
2004-04-01 18:00:00,32.64,
2004-05-01 18:00:00,38.99,
2004-06-01 18:00:00,36.96,
2004-07-01 18:00:00,27.04,
2004-08-01 18:00:00,34.97,
2004-09-01 18:00:00,15.23,
2004-10-01 18:00:00,28.39,
2004-11-01 18:00:00,24.57,
2004-12-01 18:00:00,15.28,
2005-01-01 18:00:00,21.61,
2005-02-01 18:00:00,15.54,
2005-03-01 18:00:00,17.14,
2005-04-01 18:00:00,24.27,
2005-05-01 18:00:00,8.29,
2005-06-01 18:00:00,-4.92,
2005-07-01 18:00:00,7.79,
2005-08-01 18:00:00,23.79,
2005-09-01 18:00:00,23.72,
2005-10-01 18:00:00,16.93,
2005-11-01 18:00:00,12.11,
2005-12-01 18:00:00,17.97,
2006-01-01 18:00:00,22.94,
2006-02-01 18:00:00,17.51,
2006-03-01 18:00:00,20.87,
2006-04-01 18:00:00,33.16,
2006-05-01 18:00:00,18.43,
2006-06-01 18:00:00,18.62,
2006-07-01 18:00:00,26.49,
2006-08-01 18:00:00,16.63,
2006-09-01 18:00:00,11.63,
2006-10-01 18:00:00,14.97,
2006-11-01 18:00:00,18.89,
2006-12-01 18:00:00,22.85,
2007-01-01 18:00:00,20.12,
2007-02-01 18:00:00,7.31,
2007-03-01 18:00:00,24.41,
2007-04-01 18:00:00,13.42,
2007-05-01 18:00:00,3.8,
2007-06-01 18:00:00,9.94,
2007-07-01 18:00:00,24.34,
2007-08-01 18:00:00,26.32,
2007-09-01 18:00:00,22.69,
2007-10-01 18:00:00,14.74,
2007-11-01 18:00:00,26.1,
2007-12-01 18:00:00,25.77,
2008-01-01 18:00:00,8.69,
2008-02-01 18:00:00,-11.7,
2008-03-17 21:30:00,-22.2,-7.5
2008-04-15 21:30:00,0.6,-17.0
2008-05-15 22:30:00,-3.2,0.1
2008-06-16 21:30:00,-8.7,-1.5
2008-07-15 21:30:00,-4.9,-7.7
2008-08-15 21:30:00,2.8,-4.3
2008-09-15 21:30:00,-7.4,1.5
2008-10-15 21:30:00,-24.6,-9.0
2008-11-17 22:30:00,-25.4,-27.0
2008-12-15 22:30:00,-25.8,-27.0
2009-01-15 22:30:00,-22.2,-24.0
2009-02-17 22:30:00,-34.7,-22.5
2009-03-16 21:30:00,-38.2,-31.5
2009-04-15 21:30:00,-14.7,-35.0
2009-05-15 21:30:00,-4.6,-14.5
2009-06-15 21:30:00,-9.4,-4.9
2009-07-15 21:30:00,-0.6,-5.3
2009-08-17 21:30:00,12.1,2.8
2009-09-15 21:30:00,18.9,15.2
2009-10-15 21:30:00,34.6,18.0
2009-11-16 22:30:00,23.5,30.0
2009-12-15 22:30:00,4.5,24.2
2010-01-15 22:30:00,15.9,11.25
2010-02-16 22:30:00,24.9,17.0
2010-03-15 21:30:00,22.9,22.0
2010-04-15 21:30:00,31.9,24.0
2010-05-17 21:30:00,19.1,30.0
2010-06-15 21:30:00,19.6,20.0
2010-07-15 21:30:00,5.1,18.0
2010-08-16 21:30:00,7.1,7.5
2010-09-15 21:30:00,4.1,5.0
2010-10-15 21:30:00,15.7,6.0
2010-11-15 22:30:00,-11.1,11.7
2010-12-15 22:30:00,9.9,3.0
2011-01-18 22:30:00,11.9,12.0
2011-02-15 22:30:00,15.4,15.0
2011-03-15 21:30:00,17.5,16.5
2011-04-15 21:30:00,21.7,15.5
2011-05-16 21:30:00,11.9,19.6
2011-06-15 21:30:00,-7.8,13.0
2011-07-15 21:30:00,-3.8,4.2
2011-08-15 21:30:00,-7.7,-0.4
2011-09-15 21:30:00,-8.8,-4.0
2011-10-17 21:30:00,-8.5,-4.0
2011-11-15 22:30:00,0.6,-2.0
2011-12-15 22:30:00,9.5,3.0
2012-01-17 22:30:00,13.5,10.5
2012-02-15 22:30:00,19.5,14.2
2012-03-15 21:30:00,20.21,17.4
2012-04-16 21:30:00,6.56,18.0
2012-05-15 21:30:00,17.09,8.5
2012-06-15 21:30:00,2.29,13.0
2012-07-16 21:30:00,7.39,4.0
2012-08-15 21:30:00,-5.85,6.5
2012-09-17 21:30:00,-10.41,-2.0
2012-10-15 21:30:00,-6.16,-4.55
2012-11-15 22:30:00,-5.22,-6.7
2012-12-17 22:30:00,-7.3,-1.0
2013-01-15 22:30:00,-7.78,2.0
2013-02-15 22:30:00,10.04,-2.0
2013-03-15 21:30:00,9.24,8.4
2013-04-15 21:30:00,3.05,7.0
2013-05-15 21:30:00,-1.43,4.0
2013-06-17 21:30:00,7.84,-0.5
2013-07-15 21:30:00,9.46,5.0
2013-08-15 21:30:00,8.24,10.0
2013-09-16 21:30:00,6.29,9.2
2013-10-15 21:30:00,1.52,7.0
2013-11-15 22:30:00,-2.21,5.0
2013-12-16 22:30:00,2.22,4.75
2014-01-15 22:30:00,12.51,3.75
2014-02-18 22:30:00,4.48,9.0
2014-03-17 21:30:00,5.61,6.0
2014-04-15 21:30:00,1.29,8.0
2014-05-15 21:30:00,19.01,5.0
2014-06-16 21:30:00,19.28,15.0
2014-07-15 21:30:00,25.6,17.0
2014-08-15 21:30:00,14.69,20.0
2014-09-15 21:30:00,27.54,16.0
2014-10-15 21:30:00,6.17,20.5
2014-11-17 22:30:00,10.16,11.1
2014-12-15 22:30:00,-1.23,12.52
2015-01-15 22:30:00,9.95,5.0
2015-02-17 22:30:00,7.78,8.5
2015-03-16 21:30:00,6.9,8.0
2015-04-15 21:30:00,-1.19,7.0
2015-05-15 21:30:00,3.09,5.0
2015-06-15 21:30:00,-1.98,6.0
2015-07-15 21:30:00,3.86,3.0
2015-08-17 21:30:00,-14.92,5.0
2015-09-15 21:30:00,-14.67,-0.75
2015-10-15 21:30:00,-11.36,-8.0
2015-11-16 22:30:00,-10.74,-6.0
2015-12-15 22:30:00,-6.21,-6.0
2016-01-15 22:30:00,-19.37,-4.0
2016-02-16 22:30:00,-16.64,-10.0
2016-03-15 21:30:00,0.62,-10.0
2016-04-15 21:30:00,9.56,2.21
2016-05-16 21:30:00,-9.02,6.5
2016-06-15 21:30:00,6.01,-4.0
2016-07-15 21:30:00,0.55,5.0
2016-08-15 21:30:00,-4.21,2.5
2016-09-15 21:30:00,-1.99,-1.0
2016-10-17 21:30:00,-6.8,1.0
2016-11-15 22:30:00,1.5,-2.5
2016-12-15 22:30:00,9.0,4.0
2017-01-17 22:30:00,6.5,8.5
2017-02-15 22:30:00,18.7,7.0
2017-03-15 21:30:00,16.4,15.0
2017-04-17 21:30:00,5.2,15.0
2017-05-15 21:30:00,-1.0,7.0
2017-06-15 21:30:00,19.8,4.0
2017-07-17 21:30:00,9.8,15.0
2017-08-15 21:30:00,25.2,10.0
2017-09-15 21:30:00,24.4,19.0
2017-10-16 21:30:00,30.2,20.7
2017-11-15 22:30:00,19.4,26.0
2017-12-15 22:30:00,19.6,18.6
2018-01-16 22:30:00,17.7,18.0
2018-02-15 22:30:00,13.1,17.5
2018-03-15 21:30:00,22.5,15.2
2018-04-16 21:30:00,15.8,18.8
2018-05-15 21:30:00,20.1,15.1
2018-06-15 21:30:00,25.0,19.1
2018-07-16 21:30:00,22.6,22.0
2018-08-15 21:30:00,25.6,20.3
2018-09-17 21:30:00,19.0,23.2
2018-10-15 21:30:00,21.1,20.4
2018-11-15 22:30:00,23.3,19.3
2018-12-17 22:30:00,11.5,20.1
2019-01-15 22:30:00,3.9,10.75
2019-02-15 22:30:00,8.8,7.1
2019-03-15 21:30:00,3.7,10.0
2019-04-15 21:30:00,10.1,6.7
2019-05-15 21:30:00,17.8,8.2
2019-06-17 21:30:00,-8.6,11.0
2019-07-15 21:30:00,4.3,1.6
2019-08-15 21:30:00,4.8,3.0
2019-09-16 21:30:00,2.0,4.0
2019-10-15 21:30:00,4.0,1.0
2019-11-15 22:30:00,2.9,5.0
2019-12-16 22:30:00,3.5,4.0
2020-01-15 22:30:00,4.8,3.55
