date,actual,forecast
1991-03-01 18:00:00,109.6,
1991-04-01 18:00:00,108.4,
1991-05-01 18:00:00,108.0,
1991-06-01 18:00:00,106.8,
1991-07-01 18:00:00,106.5,
1991-08-01 18:00:00,105.5,
1991-09-01 18:00:00,104.6,
1991-10-01 18:00:00,104.7,
1991-11-01 18:00:00,105.5,
1991-12-01 18:00:00,105.1,
1992-01-01 18:00:00,104.2,
1992-02-01 18:00:00,102.8,
1992-03-01 18:00:00,101.8,
1992-04-01 18:00:00,100.7,
1992-05-01 18:00:00,99.8,
1992-06-01 18:00:00,99.4,
1992-07-01 18:00:00,98.9,
1992-08-01 18:00:00,97.6,
1992-09-01 18:00:00,94.3,
1992-10-01 18:00:00,93.2,
1992-11-01 18:00:00,89.9,
1992-12-01 18:00:00,88.1,
1993-01-01 18:00:00,89.4,
1993-02-01 18:00:00,88.6,
1993-03-01 18:00:00,86.7,
1993-04-01 18:00:00,88.7,
1993-05-01 18:00:00,87.8,
1993-06-01 18:00:00,87.2,
1993-07-01 18:00:00,88.7,
1993-08-01 18:00:00,89.1,
1993-09-01 18:00:00,91.0,
1993-10-01 18:00:00,90.2,
1993-11-01 18:00:00,90.9,
1993-12-01 18:00:00,91.8,
1994-01-01 18:00:00,92.9,
1994-02-01 18:00:00,92.8,
1994-03-01 18:00:00,95.6,
1994-04-01 18:00:00,96.9,
1994-05-01 18:00:00,98.8,
1994-06-01 18:00:00,99.4,
1994-07-01 18:00:00,101.5,
1994-08-01 18:00:00,100.8,
1994-09-01 18:00:00,101.7,
1994-10-01 18:00:00,103.9,
1994-11-01 18:00:00,105.2,
1994-12-01 18:00:00,105.4,
1995-01-01 18:00:00,104.8,
1995-02-01 18:00:00,104.4,
1995-03-01 18:00:00,104.9,
1995-04-01 18:00:00,102.3,
1995-05-01 18:00:00,101.2,
1995-06-01 18:00:00,100.7,
1995-07-01 18:00:00,99.8,
1995-08-01 18:00:00,98.0,
1995-09-01 18:00:00,97.5,
1995-10-01 18:00:00,97.9,
1995-11-01 18:00:00,96.8,
1995-12-01 18:00:00,96.8,
1996-01-01 18:00:00,96.0,
1996-02-01 18:00:00,95.1,
1996-03-01 18:00:00,94.1,
1996-04-01 18:00:00,92.9,
1996-05-01 18:00:00,93.7,
1996-06-01 18:00:00,92.8,
1996-07-01 18:00:00,92.6,
1996-08-01 18:00:00,95.0,
1996-09-01 18:00:00,95.2,
1996-10-01 18:00:00,97.0,
1996-11-01 18:00:00,97.7,
1996-12-01 18:00:00,97.2,
1997-01-01 18:00:00,97.6,
1997-02-01 18:00:00,98.1,
1997-03-01 18:00:00,98.6,
1997-04-01 18:00:00,98.5,
1997-05-01 18:00:00,99.3,
1997-06-01 18:00:00,99.9,
1997-07-01 18:00:00,99.9,
1997-08-01 18:00:00,101.5,
1997-09-01 18:00:00,101.6,
1997-10-01 18:00:00,103.7,
1997-11-01 18:00:00,104.1,
1997-12-01 18:00:00,104.3,
1998-01-01 18:00:00,105.2,
1998-02-01 18:00:00,103.5,
1998-03-01 18:00:00,104.1,
1998-04-01 18:00:00,104.6,
1998-05-01 18:00:00,104.1,
1998-06-01 18:00:00,103.9,
1998-07-01 18:00:00,103.5,
1998-08-01 18:00:00,103.6,
1998-09-01 18:00:00,102.4,
1998-10-01 18:00:00,100.2,
1998-11-01 18:00:00,99.1,
1998-12-01 18:00:00,99.5,
1999-01-01 18:00:00,99.2,
1999-02-01 18:00:00,98.0,
1999-03-01 18:00:00,96.4,
1999-04-01 18:00:00,97.2,
1999-05-01 18:00:00,96.7,
1999-06-01 18:00:00,97.0,
1999-07-01 18:00:00,98.3,
1999-08-01 18:00:00,98.9,
1999-09-01 18:00:00,100.2,
1999-10-01 18:00:00,102.0,
1999-11-01 18:00:00,102.2,
1999-12-01 18:00:00,104.6,
2000-01-20 18:00:00,100.2,99.4
2000-02-17 18:00:00,100.1,99.7
2000-03-21 18:00:00,100.9,100.5
2000-04-18 18:00:00,100.5,101.3
2000-05-18 18:00:00,102.0,101.0
2000-06-20 18:00:00,102.1,101.4
2000-07-19 18:00:00,100.4,102.1
2000-08-22 18:00:00,99.1,101.5
2000-09-20 18:00:00,99.0,99.4
2000-10-19 18:00:00,98.0,98.5
2000-11-21 18:00:00,97.2,97.6
2000-12-15 18:00:00,96.8,97.0
2001-01-22 18:00:00,96.5,96.8
2001-02-21 18:00:00,97.5,96.2
2001-03-21 18:00:00,94.9,97.0
2001-04-23 18:00:00,93.9,94.2
2001-05-22 18:00:00,90.8,93.3
2001-06-22 18:00:00,90.9,91.9
2001-07-23 18:00:00,89.5,90.0
2001-08-22 18:00:00,89.8,88.9
2001-09-21 18:00:00,89.5,89.8
2001-10-19 18:00:00,85.0,88.4
2001-11-21 18:00:00,84.7,85.2
2001-12-17 18:00:00,86.2,85.2
2002-01-28 18:00:00,88.5,85.7
2002-02-26 18:00:00,91.5,87.0
