date,actual,forecast
2005-02-01 18:00:00,54.7,
2005-03-01 18:00:00,54.5,
2005-04-01 18:00:00,57.9,
2005-05-01 18:00:00,56.7,
2005-06-01 18:00:00,52.9,
2005-07-01 18:00:00,51.7,
2005-08-01 18:00:00,51.1,
2005-09-01 18:00:00,52.6,
2005-10-01 18:00:00,55.1,
2005-11-01 18:00:00,54.1,
2005-12-01 18:00:00,54.1,
2006-01-01 18:00:00,54.3,
2006-02-01 18:00:00,52.1,
2006-03-01 18:00:00,52.1,
2006-04-01 18:00:00,55.3,
2006-05-01 18:00:00,58.1,
2006-06-01 18:00:00,54.8,
2006-07-01 18:00:00,54.1,
2006-08-01 18:00:00,52.4,
2006-09-01 18:00:00,53.1,
2006-10-01 18:00:00,57.0,
2006-11-01 18:00:00,54.7,
2006-12-01 18:00:00,55.3,
2007-01-01 18:00:00,54.8,
2007-02-01 18:00:00,55.1,
2007-03-01 18:00:00,53.1,
2007-04-01 18:00:00,56.1,
2007-05-01 18:00:00,58.6,
2007-06-01 18:00:00,55.7,
2007-07-01 18:00:00,54.5,
2007-08-01 18:00:00,53.3,
2007-09-01 18:00:00,54.0,
2007-10-01 18:00:00,56.1,
2007-11-01 18:00:00,53.2,
2007-12-01 18:00:00,55.4,
2008-01-01 18:00:00,55.3,
2008-02-01 18:00:00,53.0,
2008-03-01 18:00:00,53.4,
2008-04-01 18:00:00,58.4,
2008-05-01 18:00:00,59.2,
2008-06-01 18:00:00,53.3,
2008-07-01 18:00:00,52.0,
2008-08-01 18:00:00,48.4,
2008-09-01 18:00:00,48.4,
2008-10-01 18:00:00,51.2,
2008-11-01 18:00:00,44.6,
2008-12-01 18:00:00,38.8,
2009-01-01 18:00:00,41.2,
2009-02-01 18:00:00,45.3,
2009-03-01 18:00:00,49.0,
2009-04-01 18:00:00,52.4,
2009-05-01 18:00:00,53.5,
2009-06-01 18:00:00,53.1,
2009-07-01 18:00:00,53.2,
2009-08-01 18:00:00,53.3,
2009-09-01 18:00:00,54.0,
2009-10-01 18:00:00,54.3,
2009-11-01 18:00:00,55.2,
2009-12-01 18:00:00,55.2,
2010-01-01 18:00:00,56.6,
2010-02-01 18:00:00,55.8,
2010-03-01 18:00:00,52.0,
2010-04-01 18:00:00,55.1,
2010-05-01 18:00:00,55.7,
2010-06-01 18:00:00,53.9,
2010-07-01 18:00:00,52.1,
2010-08-01 18:00:00,51.2,
2010-09-01 18:00:00,51.7,
2010-10-01 18:00:00,53.8,
2010-11-01 18:00:00,54.7,
2010-12-01 18:00:00,55.2,
2011-01-01 18:00:00,53.9,
2011-02-01 18:00:00,52.9,
2011-03-01 18:00:00,52.2,
2011-04-01 18:00:00,53.4,
2011-05-01 18:00:00,52.9,
2011-06-01 18:00:00,52.0,
2011-07-01 18:00:00,50.9,
2011-08-01 18:00:00,50.7,
2011-09-01 18:00:00,50.9,
2011-10-01 18:00:00,51.2,
2011-11-01 18:00:00,50.4,
2011-12-01 18:00:00,49.0,
2012-01-01 18:00:00,50.3,
2012-02-01 18:00:00,50.5,
2012-03-01 18:00:00,51.0,
2012-04-01 10:00:00,53.1,51.0
2012-05-01 10:00:00,53.3,53.6
2012-06-01 10:00:00,50.4,52.2
2012-07-01 10:00:00,50.2,49.8
2012-08-01 10:00:00,50.1,50.3
2012-09-01 10:00:00,49.2,50.0
2012-10-01 10:00:00,49.8,49.8
2012-11-01 10:00:00,50.2,50.3
2012-12-01 10:00:00,50.6,50.6
2013-01-01 10:00:00,50.6,51.0
2013-02-01 10:00:00,50.4,50.9
2013-03-01 10:00:00,50.1,50.2
2013-04-01 10:00:00,50.9,52.0
2013-05-01 10:00:00,50.6,51.0
2013-06-01 10:00:00,50.8,50.1
2013-07-01 10:00:00,50.1,50.0
2013-08-01 10:00:00,50.3,49.9
2013-09-01 10:00:00,51.0,50.6
2013-10-01 10:00:00,51.1,51.5
2013-11-01 10:00:00,51.4,51.2
2013-12-01 10:00:00,51.4,51.1
2014-01-01 10:00:00,51.0,51.2
2014-02-01 10:00:00,50.5,50.5
2014-03-01 10:00:00,50.2,50.1
2014-04-01 10:00:00,50.3,50.3
2014-05-01 10:00:00,50.4,50.5
2014-06-01 10:00:00,50.8,50.6
2014-07-01 10:00:00,51.0,51.0
2014-08-01 10:00:00,51.7,51.4
2014-09-01 10:00:00,51.1,51.2
2014-10-01 10:00:00,51.1,51.0
2014-11-01 10:00:00,50.8,51.2
2014-12-01 10:00:00,50.3,50.5
2015-01-01 10:00:00,50.1,50.1
2015-02-01 10:00:00,49.8,50.2
2015-03-01 10:00:00,49.9,49.7
2015-04-01 10:00:00,50.1,49.7
2015-05-01 10:00:00,50.1,50.0
2015-06-01 10:00:00,50.2,50.2
2015-07-01 10:00:00,50.2,50.3
2015-08-01 10:00:00,50.0,50.2
2015-09-01 10:00:00,49.7,49.7
2015-10-01 10:00:00,49.8,49.6
2015-11-01 10:00:00,49.8,50.0
2015-12-01 10:00:00,49.6,49.8
2016-01-01 10:00:00,49.7,49.7
2016-02-01 10:00:00,49.4,49.6
2016-03-01 10:00:00,49.0,49.3
2016-04-01 10:00:00,50.2,49.3
2016-05-01 10:00:00,50.1,50.4
2016-06-01 10:00:00,50.1,50.0
2016-07-01 10:00:00,50.0,50.0
2016-08-01 10:00:00,49.9,50.0
2016-09-01 10:00:00,50.4,49.9
2016-10-01 10:00:00,50.4,50.4
2016-11-01 10:00:00,51.2,50.4
2016-12-01 10:00:00,51.7,51.0
2017-01-01 10:00:00,51.4,51.5
2017-02-01 10:00:00,51.3,51.2
2017-03-01 10:00:00,51.6,51.1
2017-03-31 10:00:00,51.8,51.6
2017-04-30 10:00:00,51.2,51.6
2017-05-31 10:00:00,51.2,51.0
2017-06-30 10:00:00,51.7,51.0
2017-07-31 10:00:00,51.4,51.6
2017-08-31 10:00:00,51.7,51.3
2017-09-30 10:00:00,52.4,51.5
2017-10-31 10:00:00,51.6,52.0
2017-11-30 10:00:00,51.8,51.4
2017-12-31 10:00:00,51.6,51.6
2018-01-31 10:00:00,51.3,51.5
2018-02-28 10:00:00,50.3,51.4
2018-03-31 10:00:00,51.5,50.5
2018-04-30 10:00:00,51.4,51.3
2018-05-31 10:00:00,51.9,51.4
2018-06-30 10:00:00,51.5,51.6
2018-07-31 10:00:00,51.2,51.4
2018-08-31 10:00:00,51.3,51.0
2018-09-30 10:00:00,50.8,51.2
2018-10-31 10:00:00,50.2,50.6
2018-11-30 10:00:00,50.0,50.2
2018-12-31 10:00:00,49.4,50.0
2019-01-31 10:00:00,49.5,49.3
2019-02-28 10:00:00,49.2,49.5
2019-03-31 10:00:00,50.5,49.5
2019-04-30 10:00:00,50.1,50.7
2019-05-31 10:00:00,49.4,49.9
2019-06-30 10:00:00,49.4,49.5
2019-07-31 10:00:00,49.7,49.6
2019-08-31 10:00:00,49.5,49.7
2019-09-30 10:00:00,49.8,49.5
2019-10-31 10:00:00,49.3,49.9
2019-11-30 10:00:00,50.2,49.5
2019-12-31 10:00:00,50.2,50.1
2020-01-31 10:00:00,50.0,50.0
2020-02-29 10:00:00,35.7,46.0
2020-03-31 10:00:00,52.0,45.0
2020-04-30 10:00:00,50.8,51.0
2020-05-31 10:00:00,50.6,51.0
2020-06-30 10:00:00,50.9,50.4
2020-07-31 10:00:00,51.1,50.7
2020-08-31 10:00:00,51.0,51.2
2020-09-30 10:00:00,51.5,51.2
2020-10-31 10:00:00,51.4,51.3
2020-11-30 10:00:00,52.1,51.5
2020-12-31 10:00:00,51.9,52.0
2021-01-31 10:00:00,51.3,51.6
2021-02-28 16:00:00,50.6,51.1
