date,actual,forecast
2012-06-01 22:00:00,52.9,
2012-07-02 22:00:00,52.5,53.0
2012-07-24 22:00:00,51.8,52.1
2012-08-01 22:00:00,51.4,51.9
2012-08-23 22:00:00,51.9,51.3
2012-09-04 22:00:00,51.5,51.9
2012-09-20 22:00:00,51.5,51.6
2012-10-01 22:00:00,51.1,51.5
2012-10-24 22:00:00,51.3,51.6
2012-11-01 22:00:00,51.0,51.5
2012-11-21 23:00:00,52.4,51.2
2012-12-03 23:00:00,52.8,52.4
2012-12-14 23:00:00,54.2,52.6
2013-01-02 23:00:00,54.0,53.2
2013-01-24 23:00:00,56.1,53.2
2013-02-01 23:00:00,55.8,56.1
2013-02-21 23:00:00,55.2,55.6
2013-03-01 23:00:00,54.3,55.2
2013-03-21 22:00:00,54.9,55.1
2013-04-01 21:58:00,54.6,55.0
2013-04-23 21:58:00,52.0,54.0
2013-05-01 21:58:00,52.1,52.1
2013-05-23 21:58:00,52.0,51.8
2013-06-03 21:58:00,52.3,52.0
2013-06-20 21:58:00,52.2,52.5
2013-07-01 21:58:00,51.9,52.4
2013-07-24 21:58:00,53.2,52.5
2013-08-01 21:58:00,53.7,53.1
2013-08-22 21:58:00,53.9,54.0
2013-09-03 21:00:00,53.1,53.9
2013-09-23 21:58:00,52.8,54.0
2013-10-01 21:58:00,52.8,52.8
2013-10-24 22:00:00,51.1,52.5
2013-11-01 21:58:00,51.8,51.1
2013-11-21 22:58:00,54.3,52.4
2013-12-02 22:58:00,54.7,54.3
2013-12-16 23:00:00,54.4,54.9
2014-01-02 22:58:00,55.0,54.4
2014-01-23 22:58:00,53.7,55.0
2014-02-03 22:58:00,53.7,53.8
2014-02-20 22:58:00,56.7,53.0
2014-03-03 22:58:00,57.1,56.6
2014-03-24 22:45:00,55.5,56.5
2014-04-01 22:45:00,55.5,55.9
2014-04-23 22:45:00,55.4,56.0
2014-05-01 22:45:00,55.4,55.8
2014-05-22 22:45:00,56.2,55.5
2014-06-02 22:45:00,56.4,56.2
2014-06-23 22:45:00,57.5,56.1
2014-07-01 22:45:00,57.3,57.5
2014-07-24 22:45:00,56.3,57.5
2014-08-01 22:45:00,55.8,56.3
2014-08-21 22:45:00,58.0,55.7
2014-09-02 22:45:00,57.9,58.0
2014-09-23 22:45:00,57.9,58.0
2014-10-01 22:45:00,57.5,58.2
2014-10-23 22:45:00,56.2,57.0
2014-11-03 23:45:00,55.9,56.1
2014-11-20 23:45:00,54.7,56.2
2014-12-01 23:45:00,54.8,55.0
2014-12-16 23:45:00,53.7,55.4
2015-01-02 23:45:00,53.9,53.7
2015-01-23 23:45:00,53.7,54.0
2015-02-02 23:45:00,53.9,54.1
2015-02-20 23:45:00,54.3,53.6
2015-03-02 23:45:00,55.1,54.3
2015-03-24 22:45:00,55.3,54.7
2015-04-01 22:45:00,55.7,55.3
2015-04-23 22:45:00,54.2,55.5
2015-05-01 22:45:00,54.1,54.2
2015-05-21 22:45:00,53.8,54.5
2015-06-01 22:45:00,54.0,54.2
2015-06-23 22:45:00,53.4,54.2
2015-07-01 22:45:00,53.6,53.4
2015-07-24 22:45:00,53.8,53.6
2015-08-03 22:45:00,53.8,53.8
2015-08-21 22:45:00,52.9,54.0
2015-09-01 22:45:00,53.0,52.9
2015-09-23 22:45:00,53.0,53.3
2015-10-01 22:45:00,53.1,53.0
2015-10-23 22:45:00,54.0,52.8
2015-11-02 23:45:00,54.1,54.0
2015-11-23 23:45:00,52.6,53.9
2015-12-01 23:45:00,52.8,52.6
2015-12-16 23:45:00,51.3,52.6
2016-01-04 23:45:00,51.2,51.1
2016-01-22 23:45:00,52.7,51.1
2016-02-01 23:45:00,52.4,52.7
2016-02-22 23:45:00,51.0,52.3
2016-03-01 23:45:00,51.3,51.0
2016-03-22 22:45:00,51.4,51.8
2016-04-01 22:45:00,51.5,51.5
2016-04-22 22:45:00,50.8,52.0
2016-05-02 22:45:00,50.8,51.0
2016-05-23 22:45:00,50.5,51.0
2016-06-01 22:45:00,50.7,50.5
2016-06-23 22:45:00,51.4,50.8
2016-07-01 22:45:00,51.3,51.4
2016-07-22 22:45:00,52.9,51.6
2016-08-01 22:45:00,52.9,52.9
2016-08-23 22:45:00,52.1,52.7
2016-09-01 22:45:00,52.0,52.1
2016-09-23 22:45:00,51.4,51.9
2016-10-03 22:45:00,51.5,51.4
2016-10-24 22:45:00,53.2,51.5
2016-11-01 22:45:00,53.4,53.3
2016-11-23 23:45:00,53.9,53.4
2016-12-01 23:45:00,54.1,53.9
2016-12-15 23:45:00,54.2,54.2
2017-01-03 23:45:00,54.3,54.2
2017-01-24 23:45:00,55.1,54.5
2017-02-01 23:45:00,55.0,55.1
2017-02-21 23:45:00,54.3,55.3
2017-03-01 23:45:00,54.2,54.4
2017-03-24 22:45:00,53.4,54.8
2017-04-03 22:45:00,53.3,53.5
2017-04-21 22:45:00,52.8,53.5
2017-05-01 22:45:00,52.8,52.8
2017-05-23 22:45:00,52.5,53.0
2017-06-01 22:45:00,52.7,52.5
2017-06-23 22:45:00,52.1,53.0
2017-07-03 22:45:00,52.0,52.1
2017-07-24 22:45:00,53.2,52.0
2017-08-01 22:45:00,53.3,53.2
2017-08-23 22:45:00,52.5,53.3
2017-09-01 22:45:00,52.8,52.5
2017-09-22 22:45:00,53.0,53.0
2017-10-02 22:45:00,53.1,53.0
2017-10-24 22:45:00,54.5,53.5
2017-11-01 22:45:00,54.6,54.5
2017-11-24 23:45:00,53.8,54.8
2017-12-01 23:45:00,53.9,53.8
2017-12-14 23:45:00,55.0,54.2
2018-01-02 23:45:00,55.1,55.0
2018-01-24 23:45:00,55.5,55.2
2018-02-01 23:45:00,55.5,55.5
2018-02-21 23:45:00,55.9,55.4
2018-03-01 23:45:00,55.3,55.9
2018-03-22 22:45:00,55.7,56.0
2018-04-02 22:45:00,55.6,55.7
2018-04-23 22:45:00,56.5,55.2
2018-05-01 22:45:00,56.5,56.5
2018-05-23 22:45:00,56.6,56.6
2018-06-01 22:45:00,56.4,56.6
2018-06-22 22:45:00,54.6,56.3
2018-07-02 22:45:00,55.4,54.6
2018-07-24 22:45:00,55.5,55.1
2018-08-01 22:45:00,55.3,55.5
2018-08-23 22:45:00,54.5,55.1
2018-09-04 22:45:00,54.7,54.5
2018-09-21 22:45:00,55.6,55.0
2018-10-01 22:45:00,55.6,55.6
2018-10-24 22:45:00,55.9,55.4
2018-11-01 22:45:00,55.7,55.9
2018-11-23 23:45:00,55.4,55.8
2018-12-03 23:45:00,55.3,55.4
2018-12-14 23:45:00,53.9,55.1
2019-01-02 23:45:00,53.8,53.9
2019-01-24 23:45:00,54.9,53.5
2019-02-01 23:45:00,54.9,54.9
2019-02-21 23:45:00,53.7,54.9
2019-03-01 23:45:00,53.0,53.7
2019-03-22 22:45:00,52.5,53.5
2019-04-01 22:45:00,52.4,52.5
2019-04-18 22:45:00,52.4,52.8
2019-05-01 22:45:00,52.6,52.4
2019-05-23 22:45:00,50.6,52.5
2019-06-03 22:45:00,50.5,50.6
2019-06-21 22:45:00,50.1,50.5
2019-07-01 22:45:00,50.6,50.1
2019-07-24 22:45:00,50.0,51.0
2019-08-01 22:45:00,50.4,50.0
2019-08-22 22:45:00,49.9,50.5
2019-09-03 22:45:00,50.3,49.9
2019-09-23 22:45:00,50.3,50.3
2019-10-01 22:45:00,51.1,51.0
2019-10-24 22:45:00,51.1,50.7
2019-11-01 22:45:00,51.3,51.5
2019-11-22 23:45:00,52.2,51.5
2019-12-02 23:45:00,52.6,52.2
2019-12-16 23:45:00,52.6,52.6
2020-01-02 23:45:00,52.4,52.5
2020-01-24 23:45:00,52.4,52.5
2020-02-03 23:45:00,51.9,51.7
2020-02-21 23:45:00,51.9,51.5
2020-03-02 23:45:00,50.7,50.8
2020-03-24 22:45:00,50.7,42.8
2020-04-01 22:45:00,48.5,49.2
2020-04-23 22:45:00,48.5,38.0
2020-05-01 22:45:00,36.1,36.9
2020-05-21 22:45:00,36.1,38.0
2020-06-01 22:45:00,39.8,39.8
